Joint_angle	BD101	BD102	BD103	BD104	BD106	BD107	BD109	BD110	BD111	BD112	CON3	CON5	CON6	CON7	CON10	CON13	CON24	CON28	CON29	CON31
0	283.317952595959	172.63600979351	342.746502556626	313.677360458845	226.983972548841	241.391604494388	196.526029635413	205.195519812007	239.17660914156	184.541306805355	279.792730445593	275.962141300087	467.086239468643	419.640147345598	326.426435772696	606.799596236179	383.297836697631	263.23200989488	264.591147224261	231.40073423781
0.5	288.010466090185	175.460841795472	362.811152265015	322.049300706431	231.279846083848	246.805682073737	199.806742699344	208.091614302225	241.809039106645	187.08547653822	291.546423189792	288.05181658792	474.873488049225	435.181653006791	340.972157548019	615.615429413345	394.364944631866	268.750008480939	267.898291982808	236.093813816912
1	292.826925337294	178.450166680312	382.745665300435	331.145911883787	235.622937997387	252.236236613941	203.148052042188	210.764708892349	244.388103728764	189.670556924056	303.913234599642	300.895316598444	483.024808624804	451.152655320174	355.933422987292	624.799589657932	406.484496239289	274.549089788429	271.395630770565	240.932694860216
1.5	297.752360718744	181.596534416946	402.89858513154	340.157046811646	239.925110459846	257.680463456039	206.493784444055	213.533600069077	246.866201997882	192.265440414152	316.74673629346	314.453787564974	491.630943119905	467.294341453525	371.359546753251	634.234164080281	419.511336477963	280.528616699813	275.112188067691	245.951422477863
2	302.747256493854	184.875905803653	423.589580823822	349.022171933391	244.185687968631	263.120371713118	209.766597498373	216.42195969259	249.229919599399	194.826875139771	329.809648927194	328.646473496768	500.740215237765	483.551570508041	387.264666676562	643.910858613121	433.293961643025	286.567583809495	279.054646893476	251.139673280174
2.5	307.759825323255	188.259635639755	444.407607372582	357.715377584886	248.382867218452	268.532217473955	212.910009358515	219.351545784051	251.512346444509	197.322561129666	342.987707533279	343.424375583187	510.358940216267	500.162240861407	403.629237524568	653.938479833365	447.839263144507	292.632244742744	283.216715876218	256.449005913173
3	312.746954772712	191.72683939245	464.336541301498	366.266384096476	252.539602532335	273.90377090122	215.922662329243	222.293890852512	253.783017783608	199.754109206816	356.363016655085	358.848621604561	520.458581020566	517.464807749168	420.413323451771	664.496586112899	463.288769317536	298.812328198979	287.597665336039	261.811175788917
3.5	317.692233803309	195.269339617406	482.67917331167	374.752519193505	256.722311614738	279.250067764211	218.85808323885	225.215003022309	256.118582839874	202.159349145015	370.055622112403	375.091516534091	530.985992565333	535.583510753158	437.585153378076	675.750516497632	479.723713266507	305.26906549382	292.217834917438	267.168326610933
4	322.611932405109	198.88900287618	499.512290725985	383.270373402703	261.013428666143	284.618117749168	221.791940691182	228.088314287856	258.567708411385	204.59924716665	384.037420137088	392.332759762876	541.879985887851	554.308847533998	455.142862458433	687.776423682244	496.976088740653	312.137937655134	297.123411313723	272.493685076545
4.5	327.546875824279	202.586415647723	515.31764731023	391.892602623315	265.472425367169	290.079505223816	224.783258175866	230.91221126818	261.134139414305	207.134018992593	398.11438837217	410.650267079538	553.101815643091	573.287297804771	473.118826796486	700.5521519759	514.632366537621	319.459616889589	302.383708296686	277.792850564037
