Joint_angle	BD101	BD102	BD103	BD104	BD106	BD107	BD109	BD110	BD111	BD112	CON3	CON5	CON6	CON7	CON10	CON13	CON24	CON28	CON29	CON31
0	68.2511253913142	73.1530637907967	58.1246917598558	67.3741907124549	52.7767900147956	70.5458225966235	58.8651012585988	62.7994213782351	65.6539619123963	69.4490259623491	49.7891387618667	42.1988450489939	55.0318621762319	42.2288128380643	52.8506703680957	66.6789506019817	60.1065576593128	54.3768182161591	56.2063715536769	56.6329687973333
0.5	68.255273542708	73.2124545366	58.4998762099181	67.4478192437897	52.9894124880584	70.7613495802285	59.0175918743519	63.0247860885086	65.8745283550943	69.5739760752913	49.9839395761904	42.3321563725659	55.08097385227	42.3264230899325	52.9136555649993	66.6238578289949	60.3044370752787	54.4644772432319	56.2349577408602	56.9519808058462
1	68.2569491205559	73.2852761410039	58.7447362246059	67.5352938355427	53.2638004515601	70.9835446242491	59.1841837378411	63.2036750733146	66.0885736809418	69.7656495136993	50.249287061438	42.3505552518396	55.1708613554347	42.4259038347752	52.9832738778232	66.6353077815975	60.4054688755661	54.5894395863768	56.2646732170496	57.2607898755194
1.5	68.13731370854	73.2590497408929	59.0522089102564	67.5628726880704	53.5633076763688	71.1453511788735	59.3775185994371	63.3468414566294	66.2780288765873	70.0167391593795	50.4315296115911	42.5297768163776	55.2909708000197	42.5162132385284	53.096687307282	66.6523852133699	60.526367778956	54.7990401576312	56.308583459747	57.5775362646755
2	68.055395781322	73.3473630791698	59.2633008942942	67.5811093349023	53.9665016462307	71.205746124894	59.5814650540379	63.5055358002165	66.3776463327538	70.1986507255074	50.6419473034898	42.6530548411732	55.3447394106801	42.6313035947101	53.1916664038169	66.691185211674	60.7132581452566	54.8497233981856	56.3657408900735	57.8603912758589
2.5	68.0865374583926	73.4871099548242	59.4881801183574	67.6699101689753	54.1997268709334	71.3494143098371	59.8267148220236	63.6766020299364	66.4611763664762	70.5161958493934	50.7753624962501	42.7277014736048	55.3717276027745	42.7186840603984	53.2569380076814	66.7420438265771	60.8667637781735	54.8246620767484	56.3943146790989	58.1308455038464
3	68.0138693168165	73.5908972576665	59.7797278192565	67.7114472792332	54.4799188467395	71.3806953346225	60.0981483227987	63.7961119837552	66.4599062480103	70.7683693428055	50.9373733897919	42.8764052367968	55.4165689558601	42.842840487543	53.3284181641878	66.7968305802431	61.0381494739153	54.86635575658	56.4888198270559	58.3973074936905
3.5	68.0575414733843	73.6794957178395	60.033765291608	67.784618391492	54.7042896899113	71.449358728486	60.2445866286306	63.9177644324804	66.572560919323	70.9464742318389	51.1906040729439	43.0249579512156	55.4435885062346	42.9868372073074	53.4016247517793	66.8927738670476	61.2244379370081	54.8603156720243	56.5379335672205	58.6680951761517
4	68.0675906948563	73.7985087652549	60.305039741315	67.8150515558771	54.9964855439948	71.5370970860308	60.4066862034126	64.128519519364	66.7289154238347	71.1387363470368	51.3716691102442	43.2169756644199	55.5270027183737	43.0774499271309	53.5316708257197	66.8780828742524	61.3817462197107	54.9539319552339	56.4832791670951	58.8972541868158
4.5	68.1150154079643	73.8289356576355	60.5645897130692	67.8771193032661	55.3015045234902	71.6510926281515	60.5794799631771	64.3406027850344	66.8610582988102	71.321319680794	51.5837594008413	43.4265996449726	55.5841244354623	43.1815209017723	53.6356953376513	66.8832826206014	61.4745757489207	55.055449116712	56.4936220252128	59.1580360929515
