Joint_angle	BD101	BD102	BD103	BD104	BD106	BD107	BD109	BD110	BD111	BD112	CON3	CON5	CON6	CON7	CON10	CON13	CON24	CON28	CON29	CON31
0	2.59389080606301	4.05931973307959	2.21425934769686	2.53950418182781	2.36410582534181	3.62842028768332	1.10608207230334	3.02211452879644	2.88942373966416	2.77847001458685	3.6875768353772	1.26007166123208	2.53177779144152	0.733505812891565	1.4793727087261	2.76309186500057	2.70590531353941	2.02141650747083	1.61277605535619	1.31934718247909
0.5	2.59254670667252	4.07334101145762	2.29797301740657	2.56159585682145	2.41379913304155	3.67901334190485	1.14546460594279	3.07568358051176	2.9388517215708	2.80773651538353	3.74752810998228	1.29031269769958	2.54132106094043	0.787610110645577	1.48954191029125	2.74736296170297	2.74920650272367	2.04556471599079	1.62132636555994	1.39150066089988
1	2.59392953382556	4.0929164662057	2.34780800995338	2.58170100894002	2.47999437491971	3.73468792343973	1.18652493724681	3.11986473146971	2.98627679013726	2.85323758239298	3.82227602743662	1.28789679097045	2.55984645370647	0.854525945160293	1.50463325338595	2.74325802119763	2.77665484268453	2.07883224695335	1.62455245535848	1.46435966858699
1.5	2.56897082059408	4.0910437358841	2.4189040539711	2.58772480338607	2.55395094361772	3.77320198145691	1.23688031608965	3.15592628190203	3.02938753687326	2.91226009802807	3.87624369993568	1.32284642080402	2.58599664921077	0.905080537290766	1.53018223784338	2.74263774066039	2.8078408322418	2.11858381414782	1.63716344869182	1.5380214104497
2	2.55192579365692	4.11268418161888	2.46425407824092	2.58948275499697	2.64946448368492	3.78386656998402	1.28931258527697	3.19496451581658	3.05253527598827	2.95432314888032	3.93333586787362	1.34737252535056	2.59700585841834	0.952924815646681	1.55100819339429	2.74829926874683	2.85165523839296	2.12912904932613	1.6528237907626	1.60414189565057
2.5	2.56095993049277	4.14423314721052	2.51292170510835	2.61149258047181	2.70563937225123	3.81695250554539	1.34920323718211	3.24129288784205	3.06881444603648	3.03264217614061	3.96652077922944	1.36438623010799	2.60204704699346	1.00075862395698	1.56569603953819	2.75348473575002	2.88977896271371	2.12366705916908	1.65856214522765	1.66756958649094
3	2.54520188962988	4.16648058608764	2.57677971662743	2.6297420371096	2.77393103528401	3.82139063882135	1.41427937039216	3.26876348153694	3.07127241002841	3.09451024065987	4.00872304249465	1.39785091160512	2.60920630958781	1.0584141072818	1.58097430820601	2.76114089779376	2.93304311688494	2.13185302351022	1.68579890410487	1.72981322274474
3.5	2.55799436494694	4.18619428195414	2.63481129821868	2.65589465164073	2.82873344102808	3.8380280432836	1.45051942035787	3.29476321759495	3.09610693947093	3.13864215346059	4.07759994146437	1.43148685974735	2.61449263084392	1.12023883541967	1.59820227398613	2.77807420717498	2.97675026812721	2.12779189854927	1.69651673035173	1.79219901966197
4	2.56704242930948	4.21216893153186	2.69742839559784	2.66454460279664	2.89578306865677	3.85949312270756	1.49165400626094	3.34536516347652	3.1330075650984	3.18613279239364	4.12527612538169	1.47638012804215	2.63134329088672	1.17939924922493	1.6280150033581	2.7712936926466	3.01046450850264	2.15054401833493	1.68260175088584	1.84653920180728
4.5	2.581065386487	4.22036139530648	2.76163945992199	2.67823056211152	2.96437501527626	3.8859660554971	1.53531645606007	3.39887002439654	3.16322549553017	3.23068368691247	4.18266671239473	1.52744035047055	2.64310811915208	1.22352626369907	1.65319535979818	2.76870621131594	3.03219117634283	2.17565897970119	1.68750006288065	1.90947262649626
