Joint_angle	BD101	BD102	BD103	BD104	BD106	BD107	BD109	BD110	BD111	BD112	CON3	CON5	CON6	CON7	CON10	CON13	CON24	CON28	CON29	CON31
0	70.688589000546	75.1547425785548	59.3868321221062	69.6375933396307	54.4926127121283	72.3715662535717	60.4089063226807	64.0831280531501	68.350313396247	70.6117012493987	52.0007285896884	42.8658040263476	56.1514784334569	43.0096403996146	54.1756915029049	67.7117715439251	62.1470103371896	56.1265966509707	57.6508516038273	59.1252972130152
0.5	70.6828939099444	75.2153116738254	59.7562229544257	69.736634633481	54.7018221112126	72.5716431574958	60.5656309934591	64.2902992742629	68.5707875754435	70.7285357436731	52.2329400954388	42.9906984985459	56.1924893655973	43.0903730387806	54.2210886869274	67.6372213085573	62.321525523977	56.2246072666015	57.687267578965	59.4225879673241
1	70.6887530922731	75.2998736907481	59.9761223982467	69.8267699618314	54.9805048429457	72.7918156271776	60.7290325410043	64.4611640308733	68.7823277316402	70.9101800845795	52.5224639888076	42.9807208890775	56.272099779766	43.1776031721806	54.288459215834	67.6177598013078	62.4321495550709	56.3596305813085	57.7010075725422	59.7227856824271
1.5	70.5830003926299	75.2917838716271	60.2898373159715	69.8537758039328	55.2918628537567	72.9441245466705	60.9294241733995	64.6006273062433	68.974623798681	71.1458032561476	52.7314989832957	43.1250616975297	56.3844767680017	43.2544712112339	54.4025145769973	67.6149137069859	62.55783730251	56.520970731278	57.7547180947892	60.0262908664644
2	70.510778810565	75.3852662440356	60.4899466070077	69.861657049079	55.6939759582206	72.9862990672405	61.1380808881888	64.7516025108698	69.0778745987796	71.3137227279868	52.9526362023449	43.2263536915395	56.4317873803846	43.3597038488862	54.4954854661137	67.6415167468111	62.7344208875992	56.5637707939683	57.8214158625946	60.2987241480016
2.5	70.5490574049653	75.5215514028211	60.7046949925593	69.9603313973275	55.9304728821362	73.1171417631265	61.3764185992569	64.9307713621375	69.1504880551319	71.6263793049773	53.0811725537363	43.2966197293654	56.4534512168931	43.4377070383357	54.5610547103689	67.6662341173526	62.8880695285409	56.5416021549224	57.8458556561321	60.5600624283158
3	70.4822889256078	75.6176558586853	60.9864717230318	70.0421472776479	56.2179815737315	73.1346929395885	61.635392171884	65.0370102457085	69.1614518287287	71.87336216315	53.2446361601941	43.4348277528721	56.4842171968099	43.5541274200637	54.6292597100511	67.702144219503	63.0624354557863	56.5748266176521	57.9618576603901	60.8165221035836
3.5	70.53649199425	75.7028150506429	61.2425390365086	70.159394557591	56.4487003306474	73.2004877530006	61.7796111735887	65.1375607954971	69.2722265989632	72.0495407095045	53.5114196130397	43.5737431003229	56.5069344618583	43.6902897309718	54.7061685153119	67.7825122085094	63.2385867736188	56.5583436888332	58.0075051305096	61.0735675153864
4	70.5748296090775	75.8150202957511	61.5188401754142	70.1981739801259	56.7309800430968	73.2853742458577	61.9433082237858	65.3332571218324	69.4368223303974	72.2391275962267	53.6960855559897	43.7591508093834	56.5793479357845	43.7743611154932	54.8392580185433	67.7504020483446	63.3744640330804	56.6506879867837	57.948240899442	61.2974629384253
4.5	70.6342463477379	75.850410082531	61.8021747589436	70.2595307965139	57.0197529269756	73.3900649433326	62.1170650198362	65.5401801015975	69.5716098121439	72.416978764454	53.9183786479975	43.9700278309971	56.629905715334	43.8747929696108	54.9516677555379	67.7384375060018	63.4620282146507	56.7526223710257	57.9691029358572	61.5567647178798
